phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg,gamma,epsilon,t_vi,n_iterations,t_per_iter,n_wmc_transition,t_wmc_transition,t_per_transition,n_wmc_reward,t_wmc_reward,t_per_reward,t_bellman_total
B,multivalued,4,ddnnf,2,32,5,0.32602902699727565,0.18643745601002593,0.12355125899193808,231,652,652,970,success,,0.9,0.1,0.5936207610066049,8,0.07420259512582561,160,0.4556625271361554,0.0028478907946009714,160,0.08928034199925605,0.0005580021374953503,0.048677891871193424
B,multivalued,4,ddnnf,3,32,5,0.3314931630011415,0.18936819999362342,0.1236421049979981,231,652,652,970,success,,0.9,0.1,0.571133072997327,8,0.07139163412466587,160,0.43965241507976316,0.0027478275942485197,160,0.0858701218967326,0.0005366882618545787,0.045610536020831205
B,multivalued,4,ddnnf,1,32,5,0.32870655800797977,0.18694478399993386,0.12000603500928264,231,652,652,970,success,,0.9,0.0001,0.5872292970016133,8,0.07340366212520166,160,0.45209263179276604,0.002825578948704788,160,0.08775438580778427,0.0005484649112986517,0.04738227940106299
B,multivalued,4,ddnnf,2,32,5,0.32875182399584446,0.18936199300515,0.12224208599945996,231,652,652,970,success,,0.9,0.0001,0.5876883919991087,8,0.07346104899988859,160,0.45182986893632915,0.002823936680852057,160,0.0879389460751554,0.0005496184129697212,0.04791957698762417
B,multivalued,4,ddnnf,3,32,5,0.35324451701308135,0.20616030899691395,0.12989946200104896,231,652,652,970,success,,0.9,0.0001,0.6097353840013966,8,0.07621692300017457,160,0.47183875301561784,0.0029489922063476114,160,0.08923385497473646,0.0005577115935921029,0.0486627760110423
B,multivalued,4,ddnnf,1,32,5,0.3334800559969153,0.19080447699525394,0.12272554800438229,231,652,652,970,success,,0.99,0.1,0.5962429130013334,8,0.07453036412516667,160,0.4588407480332535,0.0028677546752078342,160,0.09017555095488206,0.0005635971934680129,0.04722661401319783
B,multivalued,4,ddnnf,2,32,5,0.3491376589954598,0.19493495200003963,0.13792151000234298,231,652,652,970,success,,0.99,0.1,0.6148853300110204,8,0.07686066625137755,160,0.4724914418911794,0.0029530715118198715,160,0.09260705090127885,0.0005787940681329928,0.04978683721856214
B,multivalued,4,ddnnf,3,32,5,0.33683465600188356,0.19302410799718928,0.12682078999932855,231,652,652,970,success,,0.99,0.1,0.6126187420013594,8,0.07657734275016992,160,0.46917711799324024,0.0029323569874577515,160,0.09322079998673871,0.000582629999917117,0.050220824021380395
B,multivalued,4,ddnnf,1,32,5,0.34470319100364577,0.19695787299133372,0.13027289499586914,231,652,652,970,success,,0.99,0.0001,0.6017103789927205,8,0.07521379737409006,160,0.46410633900086395,0.0029006646187553996,160,0.09075325391313527,0.0005672078369570954,0.046850786078721285
B,multivalued,4,ddnnf,2,32,5,0.36314775299979374,0.21620718299527653,0.1284165909892181,231,652,652,970,success,,0.99,0.0001,0.6359664530027658,8,0.07949580662534572,160,0.48734668697579764,0.0030459167935987354,160,0.09605822591402102,0.0006003639119626314,0.052561540112947114
B,multivalued,4,ddnnf,3,32,5,0.3659640039986698,0.21314496199192945,0.13104566700349096,231,652,652,970,success,,0.99,0.0001,0.6443785129958997,8,0.08054731412448746,160,0.49474027899850626,0.0030921267437406643,160,0.09771372195973527,0.0006107107622483454,0.05192451203765813
B,multivalued,5,ddnnf,1,64,5,0.8226894309918862,0.4776669560087612,0.31487187900347635,455,1292,1292,1930,success,,0.9,0.1,3.264749687994481,8,0.40809371099931013,320,2.716855366976233,0.008490173021800728,320,0.3793728669115808,0.0011855402090986899,0.16852145410666708
B,multivalued,5,ddnnf,2,64,5,0.8158704780071275,0.4715729590097908,0.31538737600203604,455,1292,1292,1930,success,,0.9,0.1,3.2082999470003415,8,0.4010374933750427,320,2.666449877957348,0.008332655868616711,320,0.3698335560475243,0.0011557298626485135,0.17201651299546938
B,multivalued,5,ddnnf,3,64,5,0.8404438750003465,0.4872036660090089,0.3265142099990044,455,1292,1292,1930,success,,0.9,0.1,3.2741148019995308,8,0.40926435024994134,320,2.7188151540467516,0.008496297356396098,320,0.37203033587138634,0.0011625947995980823,0.18326931208139285
B,multivalued,5,ddnnf,1,64,5,0.8340876529982779,0.4843318829953205,0.3212082089885371,455,1292,1292,1930,success,,0.9,0.0001,3.395581240998581,8,0.42444765512482263,320,2.8165721069672145,0.008801787834272545,320,0.3895551580208121,0.0012173598688150378,0.18945397601055447
B,multivalued,5,ddnnf,2,64,5,0.8547470490011619,0.500955145995249,0.3239217579975957,455,1292,1292,1930,success,,0.9,0.0001,3.351742009006557,8,0.41896775112581963,320,2.779821116841049,0.008686940990128279,320,0.3872814071364701,0.001210254397301469,0.18463948502903804
B,multivalued,5,ddnnf,3,64,5,0.8735803919989849,0.5026152579957852,0.34093047300120816,455,1292,1292,1930,success,,0.9,0.0001,3.4173099960025866,8,0.4271637495003233,320,2.83204133984691,0.008850129187021594,320,0.3932564058486605,0.0012289262682770642,0.19201225030701607
B,multivalued,5,ddnnf,1,64,5,0.8823781279934337,0.5257839090045309,0.327888540996355,455,1292,1292,1930,success,,0.99,0.1,3.515086560990312,8,0.439385820123789,320,2.9172883148567053,0.009116525983927204,320,0.4041808000183664,0.0012630650000573951,0.19361744611524045
B,multivalued,5,ddnnf,2,64,5,0.8793129390105605,0.5126837949937908,0.33720137699856423,455,1292,1292,1930,success,,0.99,0.1,3.481300960003864,8,0.435162620000483,320,2.8988804654218256,0.009059001454443206,320,0.3983845658513019,0.0012449517682853184,0.1840359287307365
